user_id,item_list,item_values
1,36 112 34 32 10 18 3 54 99 94,0.18771216483843692 0.18515872374182618 0.15155541565279665 0.14990731580101585 0.1437683063648675 0.14206602080953434 0.1348048346452288 0.12425616429504427 0.11971548096678633 0.1184081314957644
2,11 6 18 28 38 3 5 30 47 15,0.26634677922085354 0.23542458589026535 0.2230356505025378 0.2101595520144876 0.20896706046224753 0.2020563171856593 0.19060641810903078 0.18503828078269077 0.18364066353407218 0.17312269570904984
3,7 11 17 9 28 5 27 47 2 50,0.021981393705224807 0.012731705296728218 0.011224512645505143 0.010206793860500805 0.010101515613320506 0.009600726682959108 0.0088674611617154 0.008836121885276532 0.008064257832541562 0.007889465160933626
4,28 5 50 9 145 136 35 122 23 71,0.5098676796034475 0.43854564734267226 0.39828620211570975 0.29659496771603183 0.2618259546832188 0.22275324906163887 0.22208207731814084 0.19638077953528502 0.18351969190535314 0.17969963545818077
5,6 38 14 24 88 22 20 19 84 106,0.3721687929672727 0.18425823868886834 0.18401438295024497 0.16232383024094482 0.15836815928051234 0.15118116044250698 0.14244203215696905 0.13443769077959497 0.1306763424950589 0.1299555086697965
6,8 6 44 38 7 16 24 3 93 14,0.39839946521933484 0.2762122990765748 0.17532712063572797 0.17349035925289086 0.16157826586074905 0.15862715743035966 0.14695796403181977 0.13623089804221 0.11181876713538516 0.1045924094237755
8,6 38 24 93 14 22 203 188 214 211,0.20585099297350815 0.17256166854601138 0.1144404510293099 0.11358729457748531 0.08530302459706374 0.08405974406263639 0.08329021719198343 0.07727233388772192 0.07565373545013662 0.07225937134172415
9,139 133 171 261 146 165 254 347 350 316,0.001203259851357345 0.0010066832955375382 0.0009989057442383793 0.0008851940626670963 0.0008638664632845838 0.0008400103305762554 0.000802889843509375 0.0007864678124938092 0.0007697631004573622 0.000757079905079877
10,17 5 27 47 50 42 9 3 145 31,0.3322786746778077 0.2668581614706308 0.2634286312164648 0.26298281144879465 0.2348998053589975 0.22837456231341022 0.17360870731766162 0.16730031602231002 0.15472628426797078 0.13804132987167936
11,4 31 40 58 6 15 34 32 24 99,0.6388857277760135 0.6331595855472719 0.6083803054953758 0.4734297146479289 0.32538195602451897 0.22888774122594396 0.2136669738747023 0.19318997989666528 0.18018519130153973 0.17070912456252252
