user_id,item_list
1,36 101 506 515 403 1546 922 254 1422 1481
2,1095 47 11 28 50 136 277 1522 37 145
3,59 956 584 259 536 648 857 1281 414 2748
4,28 50 249 145 136 639 277 1146 1273 679
5,1570 77 116 5138 148 7033 175 238 9582 304
6,886 44 16 6 2 88 8 19 3 108
8,443 210 722 451 1749 480 778 600 80 4
9,9018 20151 21322 17799 2821 13958 13452 10108 6415 14843
10,1446 1816 1668 2617 2565 2423 1767 3905 3721 561
11,40 31 58 955 185 52 486 44 1635 67
12,4704 2582 16291 1090 329 261 408 262 2242 53
13,1316 11016 2403 11174 11747 10234 12372 11048 9817 9813
14,90 345 14 2909 1050 51 871 571 28 202
15,236 220 6957 1107 389 465 1776 308 2196 1440
16,617 946 1692 1463 1346 394 3834 7 9752 29
17,44 98 43 57 198 16 229 50 47 11
18,617 179 332 766 3226 255 192 1099 3967 813
19,764 636 252 3571 9442 8473 9482 8044 639 154
20,467 376 573 313 242 129 764 279 636 134
21,405 152 1111 873 615 786 246 2175 458 2203
23,1279 2295 6111 3351 8444 1290 10348 754 9318 5362
24,5703 14701 18934 8516 12744 4937 8737 19360 6144 22124
25,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
26,41 252 55 1005 58 269 966 139 1788 314
28,47 11 19 136 37 325 41 39 843 55
29,28 47 17 50 627 27 145 681 42 77
30,23 17058 57 9 12 30 17056 15355 71 160
32,1393 379 2734 2316 1986 2418 12332 8964 15976 4104
33,11199 4904 1510 1807 10636 10437 6937 21940 10564 95
34,365 8930 3602 10001 3317 567 6219 12739 1159 888
35,314 139 254 1079 996 146 165 1212 1081 316
36,202 4 16 114 6 181 283 44 295 107
38,101 161 7 354 4 11 2 127 14 90
39,304 378 497 437 134 736 265 644 577 279
40,31 58 76 17 47 42 145 3 253 486
41,31 55 58 486 618 223 78 592 68 1083
42,5744 249 252 132 1369 299 1310 1254 763 566
43,238 683 149 541 372 1369 135 337 21 177
44,843 133 350 996 1006 563 606 554 759 316
45,783 1230 413 202 1399 3868 814 95 21 860
46,4126 4116 1747 417 333 456 1799 2253 5625 21763
47,96 1635 344 214 211 38 262 232 230 442
48,28 17 47 27 37 42 145 136 332 106
49,116 148 304 138 309 182 344 96 497 32
50,481 177 67 634 238 199 748 1043 235 143
51,919 625 238 678 428 1857 1891 1014 11 566
52,94 262 133 139 146 314 254 269 1172 1637
53,3970 6472 7075 6471 6273 7516 4819 8168 9043 3687
54,238 19 177 174 278 30 110 769 90 112
55,5255 6617 6941 6095 13878 12798 6093 10578 7290 21154
56,99 2531 3076 262 1342 831 1198 116 933 384
57,160 648 956 144 104 168 536 240 149 319
58,2404 3945 433 582 13965 101 2612 36 7535 1546
59,4462 5051 5821 4900 1551 937 93 1190 645 10897
60,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
62,411 583 291 841 950 4045 3059 238 1613 2473
63,1316 1668 4833 3011 4042 978 1051 80 624 2403
64,41 7128 486 6218 6260 5360 3438 550 7481 592
65,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
67,181 739 23 13 5336 6203 4544 1619 2084 2
68,138 96 324 281 344 1994 1151 3221 3373 2853
69,22 14 95 16 1217 371 389 4 220 465
70,1 24 67 2 33 413 74 177 65 2474
72,9653 8620 7454 7169 10901 10910 41 39 58 76
73,10057 154 112 516 998 1728 21 12080 6680 1953
74,11 27 47 42 145 37 136 4 815 277
75,184 56 803 389 258 570 465 1024 319 1417
76,40 11626 31 55 14767 7381 1124 77 6856 12502
77,1 7 6 24 19 33 22 84 48 8
78,546 14083 81 7212 155 1152 131 12 88 217
79,138 208 344 171 314 2025 2085 1070 747 318
81,7600 9404 2599 705 664 148 77 825 135 250
82,55 76 486 3 811 143 2032 1815 2450 342
83,1083 1214 1288 117 2237 1290 486 805 754 837
84,41 39 31 583 76 411 905 2243 1537 4041
85,41 39 31 116 60 304 309 486 405 1539
86,154 28 298 17 27 47 786 11 145 42
88,346 99 11531 2725 1089 1222 2286 2150 3776 2204
89,138 324 12673 344 12677 12672 15014 18468 15015 154
90,109 144 104 64 56 184 98 373 455 35
91,915 4 884 1438 2 90 14 1406 7 1392
92,21223 14083 2988 9622 9404 18944 7600 20948 17434 16247
93,1024 220 95 768 537 28 17 860 27 50
94,28 42 11 145 136 37 277 51 498 679
95,44 266 26 586 245 112 4 114 396 62
96,766 1264 72 617 1346 483 601 1692 946 394
97,654 5431 6530 910 1673 7884 5186 2593 11114 20996
98,11765 7839 8688 13600 13494 7590 17162 13001 6175 20783
99,138 96 64 57 995 204 527 356 877 1644
100,313 764 636 99 6149 262 2293 167 63 11
101,2314 1290 1177 837 754 828 1207 978 624 526
102,7055 5724 5725 2904 2843 2284 7030 1795 3208 2958
103,1481 694 901 1737 3188 13 2326 155 98 2256
104,299 119 252 23 68 639 71 18 54 1146
105,19078 8752 18668 16862 6820 21120 9257 14842 14844 14845
107,39 55 467 313 376 486 430 573 764 3
108,585 689 182 708 208 1722 32 1960 1163 1443
109,131 51 87 1868 1 217 4 745 132 1147
110,58 76 486 2416 1155 755 82 3 2913 428
111,95 59 584 536 956 414 648 1001 1097 35
112,2603 3692 498 365 6901 215 1020 13908 105 1120
113,168 104 184 372 310 240 224 56 9 258
114,17 37 50 5427 27 42 145 136 111 293
115,1511 44 4 1220 16 263 1 266 2700 6
116,15 101 161 354 544 506 922 429 1546 303
117,88 217 798 1927 87 4894 81 72 131 339
118,7 112 295 677 276 820 759 1008 1119 1478
119,596 179 813 1433 102 1336 416 300 1099 2436
121,2886 3659 2575 6468 4976 6784 3755 2729 4807 3134
122,3659 28 40 17 27 6468 55 5298 4051 3134
123,65 103 73 33 194 663 4 330 20 151
124,346 3520 8112 9878 1198 1342 5005 12329 9855 4834
126,5585 766 9218 131 617 549 7522 625 428 8755
127,618 40 41 39 55 828 42 624 11 47
128,42 28 50 11 145 277 37 9266 679 5
129,2013 40 31 1443 585 1960 1722 58 708 262
130,148 116 378 175 14982 20753 18434 14981 831 736
131,55 6967 198 486 143 1092 939 527 4 47
132,843 335 314 554 133 474 3024 563 139 254
134,4 80 2 186 65 73 56 174 201 77
135,566 763 132 446 4 491 891 2 194 115
136,8740 9766 143 40 31 41 39 4 2 55
137,313 376 467 430 573 157 764 275 456 636
138,28 11 117 50 47 120 27 17 42 363
139,31 58 56 76 144 3 310 74 22 372
140,16 4 44 6 11 25 24 95 74 26
141,624 253 14 5 8 1440 39 31 40 7
142,40 41 39 58 55 94 2 262 114 61
143,1573 28 47 17 50 27 145 1749 42 480
144,35 168 144 9 184 224 240 149 310 319
145,144 56 50 240 47 42 16 288 28 184
146,1450 1978 603 596 85 120 514 520 3025 237
147,1 2 80 84 14 24 74 33 26 48
148,265 279 20 4344 1436 2751 7058 306 1750 795
149,47 50 17 37 27 122 42 145 244 621
151,1207 936 1067 1290 754 1405 621 1448 716 2860
152,45 389 326 906 1024 80 85 2 157 880
153,17 27 42 37 145 136 679 363 122 277
154,58 55 76 486 1083 1214 3 1288 546 2
156,42 37 136 760 451 277 679 691 2050 363
157,7027 6197 6725 7395 6428 6721 5724 8114 3071 9803
158,19 33 157 1 35 20 65 14 144 46
160,2955 134 529 427 409 22 802 33 48 862
163,1098 2077 3259 44 2170 343 1528 436 4 308
164,44 74 61 2599 519 268 181 243 4483 4
165,3537 9189 3870 6309 5814 5542 3476 6010 7814 5485
167,33 4 103 1 48 370 20 7 24 251
168,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
171,433 399 582 774 145 28 1 47 1549 357
172,40 76 3 486 144 811 2032 2450 1815 705
173,320 2013 262 585 1960 708 2317 1722 1172 3653
174,154 298 15 11515 162 863 6379 29 4031 6227
175,74 2149 390 2570 1 4 225 305 990 638
177,27 145 136 277 679 363 80 8 220 389
178,112 1 1232 161 23 56 128 506 354 765
181,1899 1321 2151 2255 1932 1304 3544 512 8930 15440
182,27 28 11 42 145 37 277 679 363 730
183,16596 9741 229 19084 4252 16 14100 44 3464 177
184,47 27 50 42 145 220 37 465 14 1
185,1737 2326 901 3872 2256 292 1706 316 1458 11404
187,17 399 28 11 37 136 5 165 145 244
188,3537 2791 3407 7145 2702 2072 8229 1032 808 1253
189,4057 5332 2582 94 5806 1198 2963 3458 4465 1099
191,2963 2577 262 1172 738 2150 392 7413 1786 39
192,446 154 472 4 1057 763 491 2 14 22
193,33 65 2053 73 2023 4371 706 5608 4935 3976
194,21 131 109 166 1159 51 154 12173 85 284
196,3750 1846 509 712 1673 401 596 1054 3347 813
197,430 242 467 573 152 615 764 636 2203 873
198,36 161 403 506 511 354 544 375 857 750
199,8160 5378 8708 897 4868 4115 392 13822 94 734
200,155 166 9325 4970 20075 3587 14833 14847 14834 14844
201,48 1 174 46 14 424 4 163 543 793
202,96 2423 2424 40 39 3620 3616 76 1124 1534
203,4066 4662 9528 8906 10232 8993 16485 3629 9250 14948
205,2201 22 4 12243 33 9944 157 8376 9943 8
206,981 851 1568 229 1842 16 2933 500 17685 510
207,1931 1897 278 238 541 250 2149 135 94 743
208,41 39 58 76 837 978 22 4 73 662
210,433 399 582 261 316 474 350 292 563 2626
211,1296 214 323 603 211 230 154 278 3189 541
212,1790 365 298 51 712 81 162 217 549 107
215,1519 1210 2716 1938 2841 2355 4288 8994 3090 2202
216,985 510 957 500 1375 800 160 584 536 414
217,258 184 310 144 168 803 899 240 807 56
218,348 57 262 43 130 109 455 88 1644 16
219,107 88 217 81 16 44 222 1658 365 549
220,4252 137 12798 13878 295 68 54 422 112 380
221,294 883 7792 5 71 7718 23 2231 4033 10914
223,903 732 8636 441 347 75 26 1848 3008 261
225,250 278 541 404 1521 2533 238 781 1053 481
226,4 1 68 48 19 112 24 70 54 62
227,116 175 378 304 309 437 20 497 577 219
228,189 74 61 75 190 519 528 1428 1110 659
229,2 24 7 22 1230 8 216 243 1399 73
230,759 108 2152 1613 2531 3076 831 183 1460 1987
231,28 42 50 85 37 136 145 202 277 679
232,40 41 55 4 31 39 2 76 6 2510
233,1 6 96 2208 476 182 14 324 208 84
234,3183 774 1549 47 28 1867 136 3254 145 27
235,55 664 486 143 98 43 2032 1815 243 2450
236,116 175 304 309 378 134 265 497 279 437
237,1112 1028 786 1728 1283 973 998 739 8 1365
238,80 174 157 4 2 1 33 48 20 456
239,4941 3162 3620 1488 390 3616 6190 89 841 5072
240,119 433 399 3533 2689 801 2913 631 639 1146
