user_id,item_list,item_values
1,9404 12032 11500 19323 6874 17209 21926 1671 12176 11212,"[3.4035184978456443, 3.3992541318331613, 3.3804952349887176, 3.353139857643895, 3.349460810088867, 3.345555126560471, 3.3186427938764664, 3.29480749885802, 3.2684695435718667, 3.2662502033032204]"
2,10195 19564 21508 21699 6723 11587 18039 5452 17570 21290,"[2.6992100136122787, 2.6568127177111105, 2.627558490779494, 2.6044789243860973, 2.6017164592977093, 2.601356359394308, 2.593724178502026, 2.587863913493891, 2.570153072837059, 2.5642189523625145]"
3,18935 15951 17452 15500 19564 15694 14752 22130 11138 21992,"[2.3274010461053654, 2.291797893511126, 2.2866764129276507, 2.2768672827042704, 2.271178512212313, 2.270470015147018, 2.2641449522512174, 2.2609099113744646, 2.257579696039219, 2.2448954782381145]"
4,21699 16763 7128 12016 8446 13729 15102 6267 13600 19098,"[3.2221121802951713, 3.139639053749286, 3.083185033777362, 3.0718114896954964, 3.0530084680875516, 3.046579019604812, 3.0357105477753836, 3.0290799526968075, 3.027394273332342, 3.023244885856858]"
5,13817 18428 19734 9075 6880 6182 19574 15639 12896 19650,"[2.5792848723608217, 2.419613464956564, 2.3935885899374427, 2.375941808834702, 2.3715100515973178, 2.35852008411869, 2.356547926173338, 2.3439175036055637, 2.331316727450715, 2.3246842194096]"
6,18039 13600 6168 10297 12016 11212 1671 10749 19654 16999,"[3.850930701147503, 3.7163428811998984, 3.7120490709327063, 3.7037962168884278, 3.649135670028749, 3.642835526485596, 3.63239483640625, 3.5987101070353593, 3.5937037676680212, 3.5891322050856886]"
7,19564 21699 1961 16763 8911 11374 11786 4652 13729 12926,"[4.006267536310344, 3.961651599442709, 3.960701077379451, 3.917522937925774, 3.866695045859713, 3.861230451412072, 3.856800862427065, 3.822282744219894, 3.8150960453751246, 3.8143226545387297]"
8,11500 11212 12016 18719 10617 10297 18039 14827 9818 18935,"[4.603830445932011, 4.518290426196812, 4.482357426549174, 4.399771786651561, 4.371478313785204, 4.3534309159799065, 4.340437141660215, 4.339657601686369, 4.333245354897714, 4.310240178802207]"
9,18935 1671 17570 20402 11500 13607 6339 8544 11212 15694,"[5.214451555841988, 5.022914431264472, 4.936450801779669, 4.916747131787969, 4.9127277969127725, 4.910313691285857, 4.881470099904496, 4.8800712729931846, 4.863927353282034, 4.859484212407993]"
10,18935 6339 11500 11337 3482 6464 21699 19654 12016 1671,"[2.1173660540648798, 2.1005614441728544, 2.0464243815334555, 2.046235166896557, 2.0066681990663238, 1.984012315243817, 1.982572987242051, 1.9772336604391016, 1.9628992773823775, 1.962470194528254]"
11,13871 21451 13857 18935 13607 19654 21290 6957 6752 6131,"[3.2194921166749335, 3.17508487062491, 3.1647145797344294, 3.1524898034010858, 3.148092178851861, 3.145935203611947, 3.13946429216867, 3.134415587886934, 3.130063439334774, 3.1223372583124265]"
12,18661 12483 17261 8544 8723 21526 21457 12899 7780 10058,"[2.4175819796847824, 2.327273832192017, 2.3269775978031046, 2.257731888990055, 2.240389157702575, 2.2376261781780142, 2.232393559278334, 2.2319140901179106, 2.2304193311953346, 2.197961099330926]"
13,2795 3482 14631 14192 11349 13355 9404 6339 4191 17656,"[2.58515364549093, 2.4203146593385068, 2.379603656831465, 2.3689230077986636, 2.335666320847332, 2.3289855825235413, 2.31397603493357, 2.313349707204354, 2.3058980093370653, 2.293718273153218]"
14,17889 14297 19574 15500 15834 7921 11084 4647 21908 5793,"[2.437244138186814, 2.4232242726054607, 2.4189938660244366, 2.3995759859637666, 2.3908683692325363, 2.383887029010588, 2.3672172396687747, 2.3619210044919967, 2.35733542564177, 2.3568586390777773]"
15,11212 11500 18935 21699 13607 1130 19327 9246 19654 8175,"[3.530403338714936, 3.5288183082721623, 3.46638395028234, 3.404006498780776, 3.3984704155614285, 3.379288599219342, 3.361846859382303, 3.3602787800960185, 3.356871571794941, 3.35447202402925]"
16,11500 12016 18719 18935 9075 10297 6267 21699 20402 10749,"[3.9761958072347547, 3.9571334218700405, 3.888641428501555, 3.8580909468499685, 3.8481304326173333, 3.8386230982161846, 3.8381594936464802, 3.827724439433188, 3.814288413487327, 3.8093214895257796]"
17,10749 10297 18039 6168 19574 11500 12016 13600 550 17570,"[4.132120596988559, 4.1181751092459855, 4.101040521116966, 3.9827814905039634, 3.977276150399053, 3.967332547133281, 3.9161210917195604, 3.906639662752273, 3.9021700971942503, 3.901421958786828]"
18,11500 19327 11182 11212 21699 15500 6260 8073 1130 10617,"[3.167702439300572, 3.142993816474684, 3.1169181563710047, 3.109155438715132, 3.099121118357745, 3.086245448946143, 3.0842895410630393, 3.0676112515048155, 3.056634752799095, 3.0194872763809957]"
19,14821 6409 7921 20027 6131 17838 15500 7595 16087 6752,"[2.5239468708419515, 2.507031414076681, 2.4898417676803635, 2.4817795652493184, 2.4771687225748553, 2.472350228249035, 2.4580017820714724, 2.4494716146475692, 2.442286816700517, 2.436003600771026]"
20,8266 4221 19654 10195 4884 17311 6022 19574 6267 18935,"[3.2348711054201424, 3.2012145606702993, 3.1812252973863453, 3.1785702221872683, 3.1611146056068278, 3.1454861238621885, 3.145189822463951, 3.138221667097526, 3.119203472662603, 3.1105077516863977]"
21,12032 12176 10025 11500 17656 21926 9404 20608 1671 9632,"[3.8150730610379107, 3.6882711687892393, 3.6446774725993363, 3.622469157227384, 3.621003942460489, 3.6010615590571216, 3.5829924866957388, 3.5636841532124013, 3.5368629319635168, 3.528635862725158]"
22,18935 19654 13607 21699 1671 6339 11212 12016 20402 8266,"[5.948773501123113, 5.941386215056236, 5.872172884045982, 5.832617735639322, 5.832387865093567, 5.824899174205895, 5.808541180298452, 5.793302174134569, 5.7931590491543, 5.788056800470883]"
23,20027 1786 17296 8073 6260 17209 11182 10749 10297 1897,"[2.258861892476533, 2.2584232687736003, 2.2491139283007486, 2.248683803828173, 2.2481997426862703, 2.240520460754072, 2.234318825426212, 2.2318157809419814, 2.228626399255851, 2.2231717584154684]"
24,21699 15926 6840 8913 12016 8446 17717 1130 17536 16888,"[4.5665063260847, 4.536388422065311, 4.4976635054172265, 4.4853656606517305, 4.461646175866277, 4.432214130896394, 4.421280405360785, 4.421109594665304, 4.404257963694561, 4.382576671281248]"
25,11212 11500 10617 8073 12016 14827 20161 22299 11337 10297,"[4.411035701506719, 4.406797416401601, 4.286377453753831, 4.235186489300911, 4.19494744094726, 4.179588065899372, 4.179394131165117, 4.1607125928273065, 4.157778496453032, 4.150566742512219]"
26,12802 19598 11885 6723 19564 3543 15269 10195 21290 5793,"[2.164148807573701, 2.158803902181966, 2.0679151403783016, 2.0671971848742334, 2.0644854018920644, 2.0553468470935297, 2.0379211860171482, 2.0354472078488945, 2.028648772026952, 2.0173312685798135]"
27,18039 10749 10297 13600 11500 11212 6168 19452 6260 20027,"[4.165625588346838, 4.138979450629818, 4.124916316259248, 4.050472593819558, 4.022199540860221, 4.016059541876133, 4.014934143676201, 3.98248110531916, 3.980450701859986, 3.9794361957040505]"
