user_id,item_list
1,101 403 506 36 699 1546 977 515 318 254
2,11 42 4 28 131 50 47 5 8 6
3,59 956 259 536 584 648 414 1001 999 2678
4,28 50 249 136 37 145 5 277 639 111
5,4 1570 9582 5138 7033 77 20 116 148 9039
6,886 4 14 26 35 18 8 9 3 108
8,210 600 4 80 2 443 95 157 174 22
9,20113 17799 9018 13452 21157 20199 10012 15907 9777 13958
10,1816 1446 1668 3905 1767 3721 2424 2565 2423 2617
11,31 40 58 44 627 645 203 514 8 99
12,4704 5330 2582 16291 94 627 408 329 984 681
13,11016 10234 11048 9813 10307 11747 9817 12372 1316 10949
14,51 475 107 28 192 17 37 47 1 10
15,308 1776 707 2366 45 236 1143 1662 624 408
16,7 207 29 946 1463 9888 14375 617 10226 11202
17,44 4 19 16 3 80 2 1 6 229
18,617 766 13555 13196 192 1346 394 4470 336 13560
19,242 313 764 636 8473 9442 252 10660 9482 249
20,467 376 573 313 242 129 764 636 192 7564
21,97 152 1111 405 615 458 484 786 873 580
23,1186 2295 1279 6111 3351 1290 10348 8444 6599 2034
24,8516 14701 21310 3703 15801 19423 1927 8737 9121 2631
25,51 7 15 4 107 18 3 2 78 88
26,139 171 254 1005 474 1089 269 314 41 1256
28,28 47 41 11 19 2 33 39 136 843
29,28 17 50 47 627 27 145 42 681 77
30,17058 15355 9 5 4 17056 12 160 259 57
32,379 1393 2316 8964 15976 1986 2418 418 11010 7604
33,11199 4904 10564 10437 21602 10636 6937 860 220 205
34,10001 10215 12173 15861 8930 15951 14445 18787 888 1159
35,254 269 139 314 146 1079 1081 474 996 165
36,4 49 3 6 131 30 108 202 16 24
38,101 7 11 3 161 4 2 14 403 337
39,116 304 378 497 437 644 134 736 428 593
40,31 58 76 3 17 9 11 23 47 50
41,31 58 55 3 486 592 618 78 33 4
42,5744 249 1369 132 4 252 299 1254 763 566
43,238 683 372 412 184 36 144 149 541 21
44,843 54 133 350 563 7 325 318 554 171
45,1230 783 3107 413 202 1399 12256 81 21 226
46,407 1799 5625 2048 5342 6093 2275 12039 3576 15472
47,214 96 32 358 1635 211 188 38 344 1651
48,28 17 47 27 37 145 42 296 111 244
49,116 148 60 138 182 32 304 344 309 96
50,4 2 177 7 1 67 6 8 395 9
51,4 238 24 19 11 250 761 28 84 2
52,94 34 16633 438 2986 5993 9958 262 14307 18807
53,3970 7516 18028 6472 6273 7883 7163 6819 8134 20274
