user_id,item_list
1,36 101 403 506 123 515 694 1546 592 254
2,1095 47 28 11 50 1522 196 102 3176 12
3,59 259 857 584 536 956 4252 1281 648 414
4,28 50 249 145 639 136 139 171 254 314
5,1570 77 5138 116 148 7033 131 95 175 238
6,886 88 9 19 16 874 35 184 168 2
8,210 443 451 722 480 600 3916 4 778 1130
9,9018 2821 17799 10108 6415 2282 20151 4535 4802 5724
10,1816 1446 1668 561 2617 2423 2565 3905 1767 3721
11,40 31 58 955 67 44 514 93 185 4
12,4704 2582 329 261 2242 262 16291 408 1090 2781
13,1316 11016 2403 9817 10234 11747 11174 9813 11048 12372
14,1050 297 571 164 28 17 1244 90 345 47
15,236 6957 308 220 1107 389 707 13250 465 624
16,7 617 29 9752 1346 946 1463 1692 3198 1569
17,43 98 16 19 44 11 17 50 47 80
18,332 255 766 179 617 3226 192 973 1099 13555
19,764 3571 252 636 9442 8473 8044 9482 154 10660
20,467 376 313 573 242 129 279 134 764 636
21,152 405 1111 786 873 458 14140 7987 615 2
23,1279 2295 6111 3351 8444 1290 754 10348 6066 9318
24,18934 13156 22124 19360 2247 8516 4937 13803 3852 16300
25,1309 2264 14845 14846 14847 14843 14850 14849 14840 14848
26,139 269 254 314 41 292 252 1005 612 1788
28,47 11 19 325 133 37 146 843 41 39
29,28 17 1555 47 50 27 4688 627 42 516
30,17058 17056 23 15355 160 259 57 71 98 43
32,379 1393 2316 2734 1986 2418 51 18 418 1946
33,4904 1510 11199 1807 435 95 264 496 10437 6937
34,888 3602 6219 434 8930 10001 3190 1159 812 22346
35,314 139 146 254 165 996 1079 3847 1212 1081
36,4 16 181 202 283 165 139 2205 44 318
38,101 161 4 2 11 4360 7 28 354 403
39,1057 304 36 378 165 139 269 101 314 8
40,31 17 58 47 76 42 174 19 3 145
41,31 58 55 618 486 592 77 66 148 60
42,5744 1310 249 252 4013 299 1369 132 329 1
43,238 149 35 15 36 372 135 683 104 1369
44,499 215 133 267 350 843 197 16540 457 14175
45,783 202 15 101 1230 21 4030 95 3177 36
46,2253 4116 4126 1505 1218 22 322 5625 228 21763
47,96 38 214 211 344 1635 262 442 4 85
48,28 17 47 27 42 332 37 296 145 6
49,116 148 32 182 138 96 344 309 304 5
50,67 177 481 748 199 634 278 2 4 1
51,428 625 238 678 919 4 1014 42 28 11
52,94 133 262 146 438 2986 498 254 178 139
53,3970 7075 6472 6471 6273 7516 4819 3687 9043 8168
54,2 19 238 174 278 8 769 112 157 135
55,5255 6617 12798 13878 6095 6941 6093 10578 18909 7290
56,1198 99 384 1342 831 2531 738 3076 4 933
57,160 536 648 956 144 104 159 117 168 149
58,2404 101 3945 36 308 433 582 13965 161 1546
59,4462 5051 612 4900 5821 353 93 415 1190 261
60,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
62,291 583 411 85 8478 238 3575 2669 278 950
63,1316 1668 3011 4833 4042 624 978 1051 80 2403
64,41 36 7128 5360 6260 3438 379 524 5 6527
65,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
67,181 739 6203 111 2 871 2084 23 122 3059
68,281 96 138 324 1994 344 1151 3373 546 743
69,25 22 4 95 14 1372 19 16 1227 33
70,2 67 1 413 33 2741 22 614 5433 135
72,9653 7169 7454 8620 10910 10901 41 39 58 76
73,10057 125 21 998 516 1728 580 112 4252 2105
74,11 47 27 42 145 37 815 4 1004 1897
75,19 184 56 9 1028 124 319 389 537 702
76,40 31 66 2401 77 55 11626 1124 304 1425
77,7 600 722 443 771 682 1903 1 4110 6
78,546 7212 14083 4099 4 19103 155 2803 751 939
79,138 208 344 171 66 254 146 318 77 2025
81,7600 9404 2599 22 664 135 705 1999 2578 3150
82,55 76 49 181 3 33 486 23 65 4
83,1083 1214 1288 117 486 805 5 2237 837 754
84,411 583 1537 41 905 31 39 1497 2243 76
85,41 31 39 116 60 304 405 458 909 309
86,154 28 17 11 47 27 786 298 398 42
88,346 11531 133 99 1222 1089 139 2725 60 262
89,138 324 12673 344 15015 12672 15014 154 12677 433
90,21 109 98 144 104 35 64 56 2006 13
91,2 82 90 915 884 4 104 1406 168 1438
92,2988 9622 21223 14083 9404 471 7600 19606 16396 9984
93,95 220 768 1024 17 28 537 532 50 27
94,28 11 42 498 51 1020 136 6 145 2259
95,482 44 4 2456 16 112 339 2178 1842 4627
96,72 766 1264 617 1346 483 601 1692 946 394
97,4 654 7604 1777 910 2114 5431 1673 2364 7949
98,7839 11765 8688 13600 13494 29 7590 21 17162 15980
99,96 138 64 57 204 995 511 527 356 877
100,313 764 636 99 262 1050 17 63 11 50
101,837 2314 82 754 624 526 1290 1177 978 1051
102,7055 5724 2904 2284 2843 2585 3208 1795 2283 5725
103,694 1481 901 98 13 155 751 43 97 1737
104,119 299 252 23 71 2 639 112 1146 928
105,8752 19078 6820 18668 16862 6804 9257 14843 14846 14842
107,39 55 313 467 376 430 573 764 51 16
108,585 689 32 182 208 147 1 324 344 298
109,1 2 131 745 205 124 564 1147 1868 1975
110,58 82 76 428 1155 755 2416 625 600 2913
111,59 95 536 584 414 648 956 220 35 389
112,2603 3692 498 365 105 690 13908 264 6901 403
113,104 168 184 9 56 224 372 1391 240 149
114,17 5 50 27 575 5427 42 37 7236 4000
115,1511 2700 44 4 1220 121 16 286 6374 263
116,15 101 161 354 544 429 785 850 3224 22253
117,88 72 339 217 798 1927 4894 87 81 131
118,7 298 4031 85 112 5052 295 677 791 29
119,102 1433 300 179 596 2436 813 7 1336 3154
121,2729 1971 2886 3659 4976 3134 2575 3586 3755 6432
122,28 3659 3134 17 27 4051 40 111 4807 1207
123,33 65 8 103 73 330 663 16 20 424
124,346 1342 859 1198 9878 8112 715 3520 9855 2590
126,766 8755 7521 7522 6026 131 617 5585 9218 6027
127,618 40 41 39 55 47 42 11 828 624
128,11 28 42 50 9266 814 36 213 37 277
129,585 31 147 14172 40 2013 21810 58 708 98
130,148 116 175 593 378 831 766 736 18434 207
131,55 6967 198 939 159 117 17 47 50 1930
132,133 843 335 474 316 254 563 139 554 171
134,4 186 56 80 2 174 122 104 144 201
135,132 446 15 891 566 763 2 22 1 101
136,8740 9766 8683 11033 1687 11705 14089 2 10912 18551
137,313 376 467 430 157 573 1 275 1542 143
138,117 11 28 120 47 50 17 42 1670 27
139,31 56 58 144 76 22 769 3 224 722
140,4 16 44 25 95 28 11 215 6937 50
141,624 5 253 1440 43 8 31 7 39 40
142,94 40 41 39 58 55 264 2 202 262
143,1573 28 17 47 50 2724 27 480 42 1749
144,35 9 168 144 133 2981 184 224 3299 254
145,56 144 16 28 42 47 1 240 50 149
146,85 38 514 520 1 603 93 203 120 1450
147,2 1 80 44 71 33 95 48 157 22
148,265 20 279 1817 1750 4344 7058 8596 669 16721
149,17 47 50 37 45 27 42 220 16450 2
151,1207 936 754 281 1067 621 1290 716 1405 236
152,45 389 80 85 326 159 2 157 66 886
153,17 27 42 37 145 136 679 363 277 122
154,58 55 76 1083 1214 1288 546 486 3 135
156,42 451 37 760 136 691 6 769 174 157
157,7027 17896 17895 17907 6725 6197 17889 6428 5724 7395
158,1 19 33 35 95 157 65 20 144 103
160,2955 22 134 327 815 156 762 141 73 163
163,1098 3259 44 4 71 343 5 89 2077 16
164,4 44 2599 61 1 16 181 243 268 4483
165,3537 3476 3870 2841 555 5542 6309 3789 5814 9270
167,33 48 4 1 103 20 7 19 370 14
168,14841 14839 14848 14847 14846 14845 14844 14843 14842 14850
171,28 11 145 433 13 399 43 47 98 27
172,40 76 3 102 300 144 486 416 425 280
173,320 2013 585 262 203 1 188 38 211 1163
174,154 298 4031 11515 1405 21 287 1934 6379 15337
175,82 390 8 990 2149 4 2570 638 1897 1931
177,27 145 136 8 220 389 80 277 465 1
178,1 1232 112 2 128 23 56 765 4 71
181,1321 512 1899 1932 2255 1019 2151 3602 3544 1304
182,28 27 11 42 145 37 277 363 679 730
183,16596 9741 19084 14100 3464 2751 16 3972 4252 229
184,47 27 50 42 1 220 37 389 326 465
185,901 2326 1737 292 3872 1706 22 960 316 48
187,17 399 28 11 165 201 244 314 253 139
188,3537 2791 3407 7145 2072 2702 808 8229 1032 1253
189,4057 5332 94 2582 1198 5806 2963 2543 159 3458
191,2963 262 738 1172 2577 2150 4953 2827 31 39
192,1057 154 446 4 2 3372 7900 1352 22 472
193,33 2053 22 2023 196 3976 123 1763 4467 706
194,21332 21 1159 131 812 109 4066 4102 20934 14138
196,509 3750 1846 1054 712 186 401 910 44 133
197,242 467 430 573 152 615 764 471 938 270
198,36 511 375 161 857 750 506 1073 986 832
199,94 34 681 738 1704 627 99 5523 8160 4868
200,9 50 9325 422 4247 155 166 20075 3587 225
201,174 1 251 4 424 48 22 141 2644 272
202,96 101 2424 2423 59 40 39 3620 414 320
203,4066 21332 8765 9528 4662 8993 1822 9250 431 2713
205,4 2201 22 12243 8437 8417 9405 9943 9944 33
206,981 851 1568 117 500 16 159 120 510 229
207,1897 238 278 1931 6 135 94 72 590 34
208,41 39 22 58 837 4 76 978 17 2
210,433 399 582 261 316 292 474 350 476 7995
211,323 214 603 1296 211 230 154 278 3189 177
212,1790 712 365 51 298 4 284 4110 11 93
215,1519 15 2355 1210 1938 4288 463 3645 8994 88
216,510 160 985 500 957 414 62 1375 536 584
217,35 144 258 168 56 184 240 9 310 4
218,43 57 262 109 348 16 598 88 123 901
219,107 81 88 43 4 16 210 682 98 13
220,7 4252 137 12798 13878 295 422 18909 7608 68
221,5 883 71 23 294 7792 2231 11336 4033 3068
223,903 732 3372 4727 441 347 84 7900 261 1848
225,250 67 385 278 1521 238 781 541 404 1053
226,4 1555 19 112 1 43 68 98 54 10902
227,116 175 22 20 309 304 378 103 170 580
228,189 74 61 75 190 519 528 1110 659 688
229,2 1230 36 19 1321 22 132 170 48 566
230,108 759 1203 10537 831 3236 3612 2730 551 167
231,28 42 50 85 202 37 15 136 107 9
232,40 4 41 76 31 39 19 33 55 2510
233,476 2208 96 1 182 208 324 1267 344 6
234,28 27 47 37 42 11 136 145 1549 774
235,55 664 43 98 51 198 64 5 486 243
236,116 175 304 12877 7 309 378 9809 736 21357
237,1112 1028 8 786 1283 998 4020 1728 739 10902
238,80 174 157 4 2 1 8 33 20 48
239,89 390 1488 4941 3620 3162 3616 2007 438 6190
240,119 2689 433 399 2913 496 3533 3460 1165 476
241,4567 687 425 1027 1672 482 2247 423 4443 6124
242,17628 13333 10897 4900 17641 14537 19859 5216 19829 13334
243,8 25 1191 3198 1422 1481 2453 19063 3620 3162
